,Restaurant_ID,Name,City,Alcohol_Service,Smoking_Allowed,Price,Franchise,Area,Parking,Cuisine,Overall_Rating,Food_Rating,Service_Rating
0,132560,Puesto de Gorditas,Ciudad Victoria,No,Yes,Low,No,Open,Public,Regional,0.5,1.0,0.25
1,132561,Cafe Ambar,Ciudad Victoria,No,No,Low,No,Closed,Limited,Free,0.75,1.0,1.0
2,132564,Church's,Ciudad Victoria,No,No,Low,No,Closed,Limited,Free,1.25,1.25,1.5
3,132572,Cafe Chaires,San Luis Potosi,No,No,Low,No,Closed,Yes,Cafeteria,1.0,1.0,0.9333333333333333
4,132583,McDonalds Centro,Cuernavaca,No,No,Low,Yes,Closed,Limited,American,1.0,1.0,1.25
5,132584,Gorditas Doña Tota,Ciudad Victoria,No,No,Medium,Yes,Closed,Yes,Mexican,1.3333333333333333,1.5,1.0
6,132594,Tacos De Barbacoa Enfrente Del Tec,Ciudad Victoria,No,No,Low,No,Open,Public,Mexican,0.6,1.2,0.6
7,132608,Hamburguesas La Perica,Ciudad Victoria,No,Yes,Low,Yes,Open,Public,Mexican,1.0,1.1666666666666667,0.8333333333333334
8,132609,Pollo Frito Buenos Aires,Ciudad Victoria,No,No,Low,Yes,Closed,Yes,Fast Food,0.6,0.6,0.6
9,132613,Carnitas Mata,Ciudad Victoria,No,Yes,Medium,Yes,Closed,Yes,Mexican,1.1666666666666667,1.3333333333333333,1.0
10,132626,La Perica Hamburguesa,Ciudad Victoria,No,No,Medium,Yes,Closed,Yes,Italian,1.25,1.0,1.0
11,132630,Palomo Tec,Ciudad Victoria,No,No,Low,No,Closed,Limited,Mexican,1.1666666666666667,1.1666666666666667,1.0
12,132654,Carnitas Mata  Calle 16 de Septiembre,Ciudad Victoria,No,No,Low,No,Closed,Limited,Free,0.25,0.25,0.25
13,132660,Carnitas Mata Calle Emilio Portes Gil,Ciudad Victoria,No,No,Low,No,Closed,Limited,Free,1.4,1.4,1.0
14,132663,Tacos Abi,Ciudad Victoria,No,No,Low,No,Closed,Limited,Mexican,0.5,0.5,0.6666666666666666
15,132665,Tacos Correcaminos,Ciudad Victoria,No,No,Low,No,Closed,Limited,Mexican,0.8,0.8,1.0
16,132667,Little Pizza Emilio Portes Gil,Ciudad Victoria,No,No,Low,Yes,Closed,Limited,Armenian,1.25,2.0,1.25
17,132668,Tacos El Guero,Ciudad Victoria,No,No,Low,No,Closed,Limited,Mexican,1.0,1.0,1.0
18,132706,Gorditas Dona Tota,Ciudad Victoria,No,No,Medium,Yes,Closed,Public,Mexican,0.75,1.25,1.0
19,132715,Tacos De La Estacion,Ciudad Victoria,No,No,Low,No,Open,Limited,Mexican,1.0,1.0,0.5
20,132717,Tortas Hawaii,Ciudad Victoria,No,No,Medium,No,Closed,Public,Fast Food,1.3333333333333333,1.3333333333333333,1.0
21,132723,Gordas De Morales,San Luis Potosi,Full Bar,Smoking Section,Medium,No,Closed,Public,Mexican,1.4166666666666667,1.3333333333333333,1.25
22,132732,Taqueria El Amigo ,Ciudad Victoria,No,No,Low,No,Open,Limited,Mexican,0.625,0.875,1.0
23,132733,Little Caesars,Ciudad Victoria,No,No,Medium,Yes,Closed,Yes,Pizzeria,1.3,1.3,1.2
24,132740,Carreton De Flautas Y Migadas,Ciudad Victoria,No,Yes,Low,No,Open,Limited,Mexican,0.75,1.25,0.625
25,132754,Cabana Huasteca,San Luis Potosi,No,No,Medium,No,Closed,Limited,Mexican,1.4615384615384615,1.4615384615384615,1.3076923076923077
26,132755,La Estrella De Dimas,San Luis Potosi,No,No,Medium,No,Closed,Public,Mexican,1.8,2.0,1.6
27,132766,Mikasa,Cuernavaca,Wine & Beer,No,Medium,No,Closed,Yes,Japanese,0.6666666666666666,1.0,0.6666666666666666
28,132767,Restaurant Familiar El Chino,Jiutepec,Wine & Beer,Yes,Medium,No,Open,Yes,Vietnamese,1.1666666666666667,1.3333333333333333,1.1666666666666667
29,132768,Mariscos Tia Licha,Cuernavaca,No,No,Medium,Yes,Closed,Limited,Family,1.6,1.7,1.4
30,132773,El Cotorreo,Cuernavaca,Wine & Beer,Yes,Low,No,Open,Limited,Family,1.5,1.25,1.75
31,132773,El Cotorreo,Cuernavaca,Wine & Beer,Yes,Low,No,Open,Limited,Mexican,1.5,1.25,1.75
32,132825,Puesto De Tacos,San Luis Potosi,No,No,Low,No,Open,Limited,Mexican,1.28125,1.34375,0.9375
33,132830,Rincon Huasteco,San Luis Potosi,No,No,Low,No,Closed,Limited,Free,0.9166666666666666,1.1666666666666667,0.9166666666666666
34,132834,Gorditas Doa Gloria,San Luis Potosi,No,No,Low,No,Closed,Public,Mexican,1.0,1.12,0.88
35,132845,Cenaduria El Rincón De Tlaquepaque,San Luis Potosi,No,No,Medium,No,Closed,Limited,Mexican,0.8,0.6,0.8
36,132846,El Lechon Potosino ,San Luis Potosi,No,Yes,Low,No,Open,Limited,International,1.4,1.4,1.2
37,132847,Don Burguers,San Luis Potosi,No,No,Low,No,Open,Limited,Free,1.1666666666666667,1.3333333333333333,0.6666666666666666
38,132851,KFC,San Luis Potosi,No,No,Low,No,Closed,Yes,American,1.4285714285714286,1.0,1.0
39,132851,KFC,San Luis Potosi,No,No,Low,No,Closed,Yes,Game,1.4285714285714286,1.0,1.0
40,132854,Sirlone,San Luis Potosi,Wine & Beer,No,Medium,No,Closed,Yes,International,1.3333333333333333,1.6666666666666667,1.1666666666666667
